"VehicleID","Manufacturing_Lot","PSI"
"V40858","Lot1",1498.76274067644
"V40607","Lot1",1500.0017149919
"V31443","Lot1",1500.6434534169
"V6004","Lot1",1500.25980609531
"V7000","Lot1",1498.40254132216
"V17344","Lot1",1499.67625877414
"V37049","Lot1",1500.16077157822
"V9048","Lot1",1500.71813509291
"V40947","Lot1",1501.35193683929
"V4682","Lot1",1500.87782477857
"V35167","Lot1",1499.94232880944
"V20839","Lot1",1499.55417752721
"V1763","Lot1",1499.46177104001
"V7915","Lot1",1499.06080956791
"V24283","Lot1",1500.88084659335
"V14310","Lot1",1499.20183510395
"V48331","Lot1",1500.93962723508
"V24679","Lot1",1500.67891808234
"V26894","Lot1",1497.07357518145
"V42152","Lot1",1500.88459424382
"V213","Lot1",1501.00334381659
"V4312","Lot1",1497.66192864592
"V34599","Lot1",1500.50952779786
"V5945","Lot1",1501.01009462742
"V45341","Lot1",1499.13002471583
"V11514","Lot1",1501.56696297972
"V2168","Lot1",1500.87912193867
"V22022","Lot1",1498.77542115034
"V39970","Lot1",1499.28795680693
"V25197","Lot1",1500.64289081407
"V8438","Lot1",1501.1599380235
"V14229","Lot1",1499.45440801122
"V493","Lot1",1500.60864325419
"V16491","Lot1",1500.76423273326
"V1037","Lot1",1499.55413655599
"V11948","Lot1",1500.23640529481
"V34990","Lot1",1497.89241854395
"V10773","Lot1",1501.13594457718
"V41106","Lot1",1500.34353074721
"V37342","Lot1",1501.35393896588
"V23497","Lot1",1500.56211167462
"V47918","Lot1",1500.17508396398
"V24631","Lot1",1501.16675429516
"V44338","Lot1",1499.81680593245
"V6203","Lot1",1499.55237857583
"V41780","Lot1",1501.48657887027
"V25772","Lot1",1499.98756657419
"V33072","Lot1",1498.96114263919
"V9609","Lot1",1497.77406313975
"V17444","Lot1",1499.92348724677
"V2937","Lot2",1503.78335991852
"V33662","Lot2",1494.69044786643
"V35897","Lot2",1504.56516136487
"V40383","Lot2",1498.79638204131
"V31118","Lot2",1500.64377625226
"V49231","Lot2",1497.81397341777
"V16893","Lot2",1505.11200533852
"V19636","Lot2",1495.38678513587
"V24531","Lot2",1495.49765436758
"V29702","Lot2",1490.27229240935
"V27432","Lot2",1502.62503999811
"V41076","Lot2",1497.78381152704
"V31174","Lot2",1496.98486410602
"V21322","Lot2",1497.14772630441
"V27412","Lot2",1498.82695972965
"V13774","Lot2",1498.72731793289
"V45883","Lot2",1494.99194972685
"V29723","Lot2",1501.71684298791
"V8872","Lot2",1498.26230793853
"V3320","Lot2",1496.57058918213
"V18858","Lot2",1504.13943715547
"V9531","Lot2",1497.06901783021
"V44685","Lot2",1505.59455152641
"V12054","Lot2",1502.8161342267
"V16182","Lot2",1501.36049263612
"V14013","Lot2",1501.34738027501
"V9627","Lot2",1498.43778824168
"V41360","Lot2",1496.25351770781
"V924","Lot2",1499.10476669806
"V47525","Lot2",1502.79147494258
"V31495","Lot2",1500.80493805206
"V38509","Lot2",1501.72497450003
"V17834","Lot2",1499.26299201743
"V20413","Lot2",1498.52470412035
"V17502","Lot2",1501.51211598863
"V40607","Lot2",1503.18761120236
"V44576","Lot2",1497.1102218377
"V35190","Lot2",1496.83297249716
"V46374","Lot2",1500.82724691061
"V47062","Lot2",1505.3930876649
"V11605","Lot2",1500.75408408871
"V14941","Lot2",1497.68794166922
"V2942","Lot2",1498.20469761527
"V32735","Lot2",1502.66514452301
"V45208","Lot2",1498.12096514911
"V40317","Lot2",1498.12891912875
"V36280","Lot2",1501.56454473538
"V31949","Lot2",1496.93661904038
"V49281","Lot2",1501.26868959039
"V34138","Lot2",1498.91893151499
"V5908","Lot3",1499.37757816698
"V9510","Lot3",1507.57314280614
"V3092","Lot3",1514.20156449583
"V49408","Lot3",1519.35249647966
"V35127","Lot3",1486.22279473117
"V27926","Lot3",1511.47502474658
"V830","Lot3",1489.78703969572
"V25929","Lot3",1489.63343294838
"V45061","Lot3",1513.97062884408
"V33860","Lot3",1512.92800238796
"V27039","Lot3",1463.06425011731
"V16942","Lot3",1510.38321448059
"V1405","Lot3",1488.78308544887
"V7785","Lot3",1495.57113116484
"V39902","Lot3",1535.56826949053
"V47785","Lot3",1508.39130523963
"V42574","Lot3",1521.27083661851
"V35633","Lot3",1493.97580839011
"V38088","Lot3",1489.79586778435
"V39133","Lot3",1488.94912983721
"V8204","Lot3",1488.11688572375
"V37577","Lot3",1503.20338423888
"V30892","Lot3",1499.07883090616
"V37654","Lot3",1525.36198848502
"V12051","Lot3",1490.36894890372
"V5504","Lot3",1509.83836930041
"V15755","Lot3",1480.37589751728
"V13224","Lot3",1500.86978948973
"V46194","Lot3",1481.80720972257
"V47096","Lot3",1495.20931367015
"V9537","Lot3",1495.91770274397
"V7763","Lot3",1493.07969964779
"V41771","Lot3",1507.97518349619
"V28453","Lot3",1498.4703871786
"V21383","Lot3",1505.61141295781
"V26143","Lot3",1510.265978408
"V38622","Lot3",1510.13612765518
"V19109","Lot3",1497.49207875421
"V32572","Lot3",1514.60485757599
"V793","Lot3",1466.47254008776
"V26325","Lot3",1491.27511046227
"V42093","Lot3",1486.38633695963
"V46047","Lot3",1482.83542481222
"V17544","Lot3",1491.20416323955
"V9896","Lot3",1487.47789997433
"V20689","Lot3",1527.51782647189
"V18191","Lot3",1500.93105493131
"V39791","Lot3",1498.73950885878
"V10053","Lot3",1493.94211759488
"V45267","Lot3",1475.35670596569
